id,ticker,dividend_yield,predicted_high,predicted_low,is_odd,last_updated,company_name,total_dividend_2025,previous_close,live_price_2026,base_yield,live_yield,sector,last_mined,last_live_update,pe_ratio,payout_ratio,pbv,roe,beta
69,BBYB.JK,0,,,false,2026-03-06 04:25:27.047794+00,Bank Neo Commerce Tbk.,0,280,,,,,2026-03-13 16:46:23.488544+00,,7.7777777,0,0.9042759,12.34,0.502
70,BCAP.JK,0,,,false,2026-03-06 04:25:28.440739+00,MNC Kapital Indonesia Tbk.,0,50,,,,,2026-03-13 16:46:24.120411+00,,15.974441,0,0.41236094,2.44,-0.281
71,BCIC.JK,0,,,false,2026-03-06 04:25:29.803158+00,Bank JTrust Indonesia Tbk.,0,126,,,,,2026-03-13 16:46:24.712524+00,,,,0.57806385,-2.4,0.05
72,BCIP.JK,0,,,false,2026-03-06 04:25:31.088985+00,Bumi Citra Permai Tbk.,0,67,,,,,2026-03-13 16:46:25.319428+00,,5.7808456,0,0.19195783,3.67,0.328
73,BDMN.JK,4.57,,,false,2026-03-06 04:25:32.467131+00,Bank Danamon Indonesia Tbk.,113.85,2490,,,,,2026-03-13 16:46:25.913382+00,,6.128175,28.02,0.44843146,7.43,-0.058
74,BEKS.JK,0,,,false,2026-03-06 04:25:33.894599+00,"Bank Pembangunan Daerah Banten ",0,26,,,,,2026-03-13 16:46:26.482277+00,,25.742575,0,0.7097426,2.92,-0.319
75,BEST.JK,0,,,false,2026-03-06 04:25:35.215196+00,"Bekasi Fajar Industrial Estate ",0,101,,,,,2026-03-13 16:46:27.059991+00,,127.8481,0,0.22112222,0.17,0.209
76,BFIN.JK,9.24,,,false,2026-03-06 04:25:36.633643+00,BFI Finance  Indonesia Tbk,67,725,,,,,2026-03-13 16:46:27.805033+00,,7.0367856,65.05,1.0105952,15.18,0.496
77,BGTG.JK,0,,,false,2026-03-06 04:25:37.915015+00,Bank Ganesha Tbk.,0,127,,,,,2026-03-13 16:46:28.354821+00,,12.636816,0,0.8374768,6.87,0.131
78,BHIT.JK,0,,,false,2026-03-06 04:25:39.432237+00,MNC Asia Holding Tbk.,0,33,,,,,2026-03-13 16:46:28.921035+00,,15.714287,0,0.15696272,1.88,0.273
79,BIKA.JK,0,,,false,2026-03-06 04:25:40.709952+00,Binakarya Jaya Abadi Tbk.,0,55,,,,,2026-03-06 08:11:20.327318+00,,,,,,
80,BIMA.JK,0,,,false,2026-03-06 04:25:42.071601+00,"Primarindo Asia Infrastructure ",0,82,,,,,2026-03-06 08:11:20.700081+00,,,,,,
81,BINA.JK,0,,,false,2026-03-06 04:25:43.366917+00,Bank Ina Perdana Tbk.,0,4450,,,,,2026-03-13 16:46:29.487314+00,,4944.4443,0,7.3781404,0.12,0.069
82,BIPI.JK,0,,,false,2026-03-06 04:25:44.671769+00,Astrindo Nusantara Infrastruktu,0,208,,,,,2026-03-13 16:46:30.037227+00,,93.693695,0,29714.285,0.41,1.535
83,BIPP.JK,0,,,false,2026-03-06 04:25:45.988914+00,Bhuwanatala Indah Permai Tbk.,0,58,,,,,2026-03-13 16:46:30.621796+00,,134.88371,0,0.3550919,0.06,0.231
84,BIRD.JK,7.25,,,false,2026-03-06 04:25:47.360059+00,Blue Bird Tbk.,120,1655,,,,,2026-03-13 16:46:31.190189+00,,6.543571,47.43,0.6829831,10.62,0.187
85,BISI.JK,3.31,,,false,2026-03-06 04:25:48.69354+00,BISI International Tbk,28,845,,,,,2026-03-13 16:46:31.736261+00,,17.781986,58.95,0.74635834,4.29,0.099
86,BJBR.JK,10.72,,,false,2026-03-06 04:25:50.027552+00,Bank Pembangunan Daerah Jawa Ba,85.25,795,,,,,2026-03-13 16:46:32.704952+00,,8.390501,89.95,0.49479747,7.27,0.047
87,BJTM.JK,9.77,,,false,2026-03-06 04:25:51.362599+00,Bank Pembangunan Daerah Jawa Ti,54.71,560,,,,,2026-03-13 16:46:33.311042+00,,5.9561796,58.18,0.645139,11.06,0.232
